source_GEOID,isolation_score,isolation_rank,county_name
29219,3.308563599586919,1860,"Warren County, Missouri"
36001,3.307876251166376,1861,"Albany County, New York"
13091,3.307721461154893,1862,"Dodge County, Georgia"
36113,3.306602165111545,1863,"Warren County, New York"
37089,3.3060962710326103,1864,"Henderson County, North Carolina"
05053,3.3060306880853116,1865,"Grant County, Arkansas"
01081,3.3045566531824218,1866,"Lee County, Alabama"
24005,3.3034397640172446,1867,"Baltimore County, Maryland"
05037,3.3030506070265386,1868,"Cross County, Arkansas"
47139,3.3022066826694183,1869,"Polk County, Tennessee"
21139,3.3019265992608418,1870,"Livingston County, Kentucky"
42057,3.3001584110648667,1871,"Fulton County, Pennsylvania"
51790,3.2986125345045294,1872,"Staunton city, Virginia"
40099,3.298544197990225,1873,"Murray County, Oklahoma"
23007,3.2981592961034862,1874,"Franklin County, Maine"
40141,3.2978454719900445,1875,"Tillman County, Oklahoma"
39093,3.2977365282966318,1876,"Lorain County, Ohio"
51169,3.2972917025870503,1877,"Scott County, Virginia"
46065,3.2957062975437976,1878,"Hughes County, South Dakota"
37123,3.2949382205219293,1879,"Montgomery County, North Carolina"
48451,3.2946692966504383,1880,"Tom Green County, Texas"
13213,3.2944857534365237,1881,"Murray County, Georgia"
51165,3.294468311278976,1882,"Rockingham County, Virginia"
18063,3.292638402359091,1883,"Hendricks County, Indiana"
29067,3.292482885912092,1884,"Douglas County, Missouri"
48199,3.2922873804835646,1885,"Hardin County, Texas"
21017,3.291597914837639,1886,"Bourbon County, Kentucky"
36075,3.291357559005302,1887,"Oswego County, New York"
20167,3.2886800252858066,1888,"Russell County, Kansas"
47065,3.2883738823325266,1889,"Hamilton County, Tennessee"
30083,3.287058374644864,1890,"Richland County, Montana"
47111,3.286930947646502,1891,"Macon County, Tennessee"
48499,3.2866437668461836,1892,"Wood County, Texas"
51167,3.284169010924132,1893,"Russell County, Virginia"
37179,3.2839535413501877,1894,"Union County, North Carolina"
18101,3.2839268058054163,1895,"Martin County, Indiana"
31039,3.2836855748876843,1896,"Cuming County, Nebraska"
38055,3.283631486325863,1897,"McLean County, North Dakota"
24015,3.282556029281533,1898,"Cecil County, Maryland"
20195,3.2824145416942767,1899,"Trego County, Kansas"
12133,3.282342443988678,1900,"Washington County, Florida"
51053,3.281164437932572,1901,"Dinwiddie County, Virginia"
31055,3.279866540979749,1902,"Douglas County, Nebraska"
46103,3.278578586387179,1903,"Pennington County, South Dakota"
47161,3.277627097397407,1904,"Stewart County, Tennessee"
26109,3.2775621016178524,1905,"Menominee County, Michigan"
37013,3.277315896739957,1906,"Beaufort County, North Carolina"
37047,3.27450404888074,1907,"Columbus County, North Carolina"
28159,3.2742476440159205,1908,"Winston County, Mississippi"
25005,3.274128126689013,1909,"Bristol County, Massachusetts"
01101,3.272967217629054,1910,"Montgomery County, Alabama"
42087,3.270404208545337,1911,"Mifflin County, Pennsylvania"
48303,3.26887245922663,1912,"Lubbock County, Texas"
40041,3.268603985000389,1913,"Delaware County, Oklahoma"
12019,3.268319110571201,1914,"Clay County, Florida"
31181,3.264720042617049,1915,"Webster County, Nebraska"
42017,3.264603406647241,1916,"Bucks County, Pennsylvania"
23021,3.2643136291144703,1917,"Piscataquis County, Maine"
17185,3.264086656492709,1918,"Wabash County, Illinois"
31065,3.2616478465273984,1919,"Furnas County, Nebraska"
26129,3.261605347057258,1920,"Ogemaw County, Michigan"
38035,3.260733911027516,1921,"Grand Forks County, North Dakota"
31141,3.2582662371145803,1922,"Platte County, Nebraska"
20185,3.2581084321544234,1923,"Stafford County, Kansas"
51063,3.2575990198184863,1924,"Floyd County, Virginia"
24013,3.2562090328319924,1925,"Carroll County, Maryland"
29075,3.256004847723026,1926,"Gentry County, Missouri"
36007,3.2557001884113212,1927,"Broome County, New York"
29029,3.2556010719246693,1928,"Camden County, Missouri"
31133,3.253675866734495,1929,"Pawnee County, Nebraska"
36031,3.2527405649435814,1930,"Essex County, New York"
18111,3.2509779657133557,1931,"Newton County, Indiana"
50017,3.250967276121578,1932,"Orange County, Vermont"
51570,3.2498429751936078,1933,"Colonial Heights city, Virginia"
13011,3.2493951129702663,1934,"Banks County, Georgia"
29189,3.248736513003699,1935,"St. Louis County, Missouri"
45061,3.24697515555968,1936,"Lee County, South Carolina"
01125,3.246627908209057,1937,"Tuscaloosa County, Alabama"
47155,3.245265447476058,1938,"Sevier County, Tennessee"
20037,3.244370050586059,1939,"Crawford County, Kansas"
40065,3.2439311465951506,1940,"Jackson County, Oklahoma"
13207,3.242105401603202,1941,"Monroe County, Georgia"
47181,3.2419028521408633,1942,"Wayne County, Tennessee"
28043,3.2405487524846737,1943,"Grenada County, Mississippi"
13161,3.239749251089022,1944,"Jeff Davis County, Georgia"
13087,3.2396530546277824,1945,"Decatur County, Georgia"
47019,3.238205736918947,1946,"Carter County, Tennessee"
40149,3.238127294740133,1947,"Washita County, Oklahoma"
34041,3.2377618815139555,1948,"Warren County, New Jersey"
39131,3.236448771412603,1949,"Pike County, Ohio"
22099,3.2355572438835303,1950,"St. Martin Parish, Louisiana"
20003,3.2352337455699467,1951,"Anderson County, Kansas"
23017,3.234881835890677,1952,"Oxford County, Maine"
01109,3.2346671780224563,1953,"Pike County, Alabama"
51191,3.2342017158261087,1954,"Washington County, Virginia"
36117,3.2341817194299347,1955,"Wayne County, New York"
45023,3.2338091333688346,1956,"Chester County, South Carolina"
36013,3.2337878238356264,1957,"Chautauqua County, New York"
40087,3.2336382031137236,1958,"McClain County, Oklahoma"
40021,3.2333265633892068,1959,"Cherokee County, Oklahoma"
28115,3.233171179259612,1960,"Pontotoc County, Mississippi"
13189,3.232792652927215,1961,"McDuffie County, Georgia"
29079,3.2323479218271607,1962,"Grundy County, Missouri"
22031,3.232267505495162,1963,"De Soto Parish, Louisiana"
37145,3.227900324397571,1964,"Person County, North Carolina"
17095,3.227240889933314,1965,"Knox County, Illinois"
30111,3.2271925734318576,1966,"Yellowstone County, Montana"
51775,3.2259220816452627,1967,"Salem city, Virginia"
21087,3.225377000128107,1968,"Green County, Kentucky"
29019,3.225219250300449,1969,"Boone County, Missouri"
45035,3.2240310026966386,1970,"Dorchester County, South Carolina"
24011,3.2235416435447557,1971,"Caroline County, Maryland"
47143,3.2229948610675865,1972,"Rhea County, Tennessee"
13023,3.222285339954731,1973,"Bleckley County, Georgia"
26107,3.222068703537602,1974,"Mecosta County, Michigan"
51009,3.221590417326229,1975,"Amherst County, Virginia"
29229,3.220970016672486,1976,"Wright County, Missouri"
01133,3.2203547505717207,1977,"Winston County, Alabama"
29195,3.2195656048623995,1978,"Saline County, Missouri"
01113,3.218374332046336,1979,"Russell County, Alabama"
31001,3.2181324470047636,1980,"Adams County, Nebraska"
13171,3.2174992456976934,1981,"Lamar County, Georgia"
19119,3.217200409227668,1982,"Lyon County, Iowa"
26093,3.2164615351781523,1983,"Livingston County, Michigan"
05025,3.2121297950762857,1984,"Cleveland County, Arkansas"
17169,3.211899237969963,1985,"Schuyler County, Illinois"
